21.11.2024, 08:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2686	422141	                3352889	               3525975	   158	
Remaining:       	    2685	421943	                3351478	               3524484	   157	
Unique:          	    2653	422002	                3352159	               3525135	   157	
Unique Remaining:	    2652	421804	                3350748	               3523644	   156	


Individual File Statistics:

File Name                                          	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
dialogs/dialog_gustoAndFatale.2873.txt             	           296	               296	            296	                      296	      54706	          54706	       54706	                 54706	                       449865	                           449865	                        449865	                                  449865	                      471429	                          471429	                       471429	                                 471429	
dialogs/dialog_kerold.2905.txt                     	           230	               230	            230	                      230	      32503	          32503	       32503	                 32503	                       263145	                           263145	                        263145	                                  263145	                      276343	                          276343	                       276343	                                 276343	
dialogs/dialog_silas.2470.txt                      	           210	               210	            209	                      209	      31245	          31245	       31232	                 31232	                       249468	                           249468	                        249400	                                  249400	                      262375	                          262375	                       262300	                                 262300	
dialogs/dialog_silas_pt2.2964.txt                  	           182	               182	            178	                      178	      28462	          28462	       28448	                 28448	                       236868	                           236868	                        236807	                                  236807	                      247953	                          247953	                       247884	                                 247884	
dialogs/dialog_rolo.2811.txt                       	           175	               175	            174	                      174	      30525	          30525	       30516	                 30516	                       233117	                           233117	                        233069	                                  233069	                      245928	                          245928	                       245877	                                 245877	
dialogs/dialog_faustus.3306.txt                    	           116	               116	            114	                      114	      12553	          12553	       12550	                 12550	                        97486	                            97486	                         97474	                                   97474	                      103043	                          103043	                       103030	                                 103030	
dialogs/dialog_duinlan.2723.txt                    	           113	               113	            113	                      113	      18539	          18539	       18539	                 18539	                       150359	                           150359	                        150359	                                  150359	                      157975	                          157975	                       157975	                                 157975	
dialogs/dialog_commander.3023.txt                  	           108	               108	            108	                      108	      19226	          19226	       19226	                 19226	                       158683	                           158683	                        158683	                                  158683	                      166468	                          166468	                       166468	                                 166468	
dialogs/dialog_rebelMice.3149.txt                  	            90	                90	             89	                       89	      16455	          16455	       16453	                 16453	                       133372	                           133372	                        133363	                                  133363	                      140130	                          140130	                       140120	                                 140120	
dialogs/dialog_cook.2922.txt                       	            78	                78	             78	                       78	      12818	          12818	       12818	                 12818	                        98635	                            98635	                         98635	                                   98635	                      103967	                          103967	                       103967	                                 103967	
dialogs/dialog_guard.3192.txt                      	            77	                77	             75	                       75	      17520	          17520	       17515	                 17515	                       138200	                           138200	                        138186	                                  138186	                      145069	                          145069	                       145052	                                 145052	
dialogs/dialog_silas_pt3.3099.txt                  	            75	                75	             74	                       74	      11306	          11306	       11300	                 11300	                        91340	                            91340	                         91312	                                   91312	                       95887	                           95887	                        95855	                                  95855	
dialogs/dialog_ravik.2981.txt                      	            55	                55	             55	                       55	      12871	          12871	       12871	                 12871	                       102915	                           102915	                        102915	                                  102915	                      108183	                          108183	                       108183	                                 108183	
dialogs/dialog_debug.2888.txt                      	            48	                48	             43	                       43	       5447	           5447	        5422	                  5422	                        36995	                            36995	                         36866	                                   36866	                       39659	                           39659	                        39513	                                  39513	
dialogs/dialog_guard_gambler.2601.txt              	            41	                41	             39	                       39	      10667	          10667	       10664	                 10664	                        88976	                            88976	                         88961	                                   88961	                       92853	                           92853	                        92838	                                  92838	
